Week,Start Date,End Date,Platform,Posts,Impressions,Engagement,Followers,CTR%,Top Post,Notes
1,2025-10-21,2025-10-27,LinkedIn,4,[TRACK],[TRACK],[TRACK],,,,
1,2025-10-21,2025-10-27,Twitter,14,[TRACK],[TRACK],[TRACK],,,,
2,2025-10-28,2025-11-03,LinkedIn,4,[TRACK],[TRACK],[TRACK],,,,
2,2025-10-28,2025-11-03,Twitter,14,[TRACK],[TRACK],[TRACK],,,,
3,2025-11-04,2025-11-10,LinkedIn,4,[TRACK],[TRACK],[TRACK],,,,
3,2025-11-04,2025-11-10,Twitter,14,[TRACK],[TRACK],[TRACK],,,,
4,2025-11-11,2025-11-17,LinkedIn,4,[TRACK],[TRACK],[TRACK],,,,
4,2025-11-11,2025-11-17,Twitter,14,[TRACK],[TRACK],[TRACK],,,,
5,2025-11-18,2025-11-24,LinkedIn,4,[TRACK],[TRACK],[TRACK],,,,
5,2025-11-18,2025-11-24,Twitter,14,[TRACK],[TRACK],[TRACK],,,,
6,2025-11-25,2025-12-01,LinkedIn,4,[TRACK],[TRACK],[TRACK],,,,
6,2025-11-25,2025-12-01,Twitter,14,[TRACK],[TRACK],[TRACK],,,,
7,2025-12-02,2025-12-08,LinkedIn,4,[TRACK],[TRACK],[TRACK],,,,
7,2025-12-02,2025-12-08,Twitter,14,[TRACK],[TRACK],[TRACK],,,,
8,2025-12-09,2025-12-15,LinkedIn,4,[TRACK],[TRACK],[TRACK],,,,
8,2025-12-09,2025-12-15,Twitter,14,[TRACK],[TRACK],[TRACK],,,,
9,2025-12-16,2025-12-22,LinkedIn,4,[TRACK],[TRACK],[TRACK],,,,
9,2025-12-16,2025-12-22,Twitter,14,[TRACK],[TRACK],[TRACK],,,,
10,2025-12-23,2025-12-29,LinkedIn,4,[TRACK],[TRACK],[TRACK],,,,
10,2025-12-23,2025-12-29,Twitter,14,[TRACK],[TRACK],[TRACK],,,,
11,2025-12-30,2026-01-05,LinkedIn,4,[TRACK],[TRACK],[TRACK],,,,
11,2025-12-30,2026-01-05,Twitter,14,[TRACK],[TRACK],[TRACK],,,,
12,2026-01-06,2026-01-12,LinkedIn,4,[TRACK],[TRACK],[TRACK],,,,
12,2026-01-06,2026-01-12,Twitter,14,[TRACK],[TRACK],[TRACK],,,,
13,2026-01-13,2026-01-19,LinkedIn,4,[TRACK],[TRACK],[TRACK],,,,
13,2026-01-13,2026-01-19,Twitter,14,[TRACK],[TRACK],[TRACK],,,,
